#arraysze	anteil der gesamtphot	sigma E (gauss)
8	31.6981815985018	0.683976148881873
10	51.0439882697947	0.938069733566571
12	65.1966897177191	1.09876261837823
14	74.2249479547628	1.20300303756134
16	78.7910341425988	1.24040228640798
18	80.3705290212037	1.24410902059384

