342.84 6.72
344.71 9.30
346.28 15.60
347.64 19.97
349.17 29.01
350.19 35.19
351.20 42.89
352.22 51.05
353.24 59.00
353.96 67.81
355.15 76.42
356.17 83.21
357.70 91.38
358.46 96.81
360.75 102.64
362.49 107.48
365.34 111.54
368.14 114.23
370.94 115.88
373.74 117.75
376.54 119.47
379.34 121.35
382.15 123.05
384.95 125.72
387.75 127.75
390.42 129.95
394.12 132.47
396.92 133.59
399.72 135.63
402.52 137.07
405.32 139.59
408.12 141.24
410.92 142.38
413.72 143.99
416.29 145.38
419.33 147.41
422.13 148.91
425.95 151.14
428.75 151.66
431.55 153.90
434.35 155.67
437.15 157.07
439.95 159.12
442.76 160.20
445.56 161.99
448.36 163.64
451.16 165.29
453.96 167.08
457.13 169.17
459.56 170.93
462.15 171.98
464.40 173.29
467.20 174.87
470.11 176.15
472.63 177.03
475.57 178.77
478.41 180.29
481.21 181.88
483.85 183.38
485.58 184.53
488.24 185.93
490.71 187.72
493.85 190.43
496.46 192.17
499.29 193.73
502.09 195.63
504.89 196.80
507.83 198.35
509.77 199.49
