374.04 0.01
379.17 0.04
384.29 0.08
389.31 0.12
393.74 0.16
397.88 0.20
401.72 0.23
405.47 0.27
408.71 0.31
411.53 0.35
414.42 0.39
417.31 0.43
419.80 0.47
422.69 0.50
425.50 0.55
428.26 0.59
431.81 0.63
434.80 0.67
438.05 0.71
441.00 0.75
444.25 0.79
447.80 0.83
451.64 0.86
456.07 0.90
461.38 0.94
467.59 0.97
474.08 0.99
480.58 1.00
487.08 0.99
493.58 0.97
500.08 0.94
506.58 0.90
512.78 0.86
518.69 0.83
524.00 0.79
528.43 0.75
532.57 0.71
536.70 0.68
541.13 0.64
545.86 0.60
550.59 0.57
555.31 0.53
560.63 0.49
566.54 0.45
572.74 0.42
579.24 0.38
585.73 0.34
592.23 0.31
598.73 0.28
605.23 0.24
611.73 0.21
618.22 0.18
624.72 0.16
631.22 0.13
636.24 0.11
