320.81 0.00
322.96 0.00
329.63 0.01
332.52 0.02
334.14 0.03
335.81 0.06
337.20 0.08
339.34 0.14
340.15 0.17
341.51 0.23
342.08 0.26
343.27 0.33
343.91 0.35
344.92 0.42
345.38 0.45
346.36 0.52
346.85 0.54
347.65 0.61
348.13 0.64
349.11 0.71
349.60 0.73
350.71 0.80
351.25 0.83
352.53 0.90
353.27 0.92
355.59 0.99
357.07 1.00
358.70 0.98
359.74 0.96
360.49 0.93
361.40 0.91
362.31 0.87
363.17 0.84
363.92 0.82
365.59 0.75
366.42 0.72
368.29 0.66
369.29 0.64
370.69 0.61
372.83 0.58
374.77 0.57
377.43 0.57
380.59 0.58
382.63 0.57
385.02 0.56
387.54 0.53
389.02 0.51
391.63 0.44
392.62 0.42
395.15 0.36
396.06 0.34
398.52 0.27
399.64 0.25
402.39 0.18
404.12 0.16
406.73 0.11
408.54 0.09
411.98 0.05
413.96 0.04
415.85 0.03
420.99 0.00
423.08 0.00
424.91 0.00
429.76 0.00
437.71 0.00
